종목코드,종목명,산업,섹터,날짜
215380,우정바이오,건강관리,제약과생물공학,20220408
009300,삼아제약,건강관리,제약과생물공학,20220408
036480,대성미생물,건강관리,제약과생물공학,20220408
318010,팜스빌,건강관리,제약과생물공학,20220408
179530,애드바이오텍,건강관리,제약과생물공학,20220408
018680,서울제약,건강관리,제약과생물공학,20220408
353190,휴럼,건강관리,제약과생물공학,20220408
086060,진바이오텍,건강관리,제약과생물공학,20220408
223250,드림씨아이에스,건강관리,제약과생물공학,20220408
105560,KB금융,금융,은행,20220408
055550,신한지주,금융,은행,20220408
086790,하나금융지주,금융,은행,20220408
316140,우리금융지주,금융,은행,20220408
323410,카카오뱅크,금융,은행,20220408
024110,기업은행,금융,은행,20220408
138930,BNK금융지주,금융,은행,20220408
175330,JB금융지주,금융,은행,20220408
139130,DGB금융지주,금융,은행,20220408
038540,상상인,금융,은행,20220408
006220,제주은행,금융,은행,20220408
071050,한국금융지주,금융,증권,20220408
006800,미래에셋증권,금융,증권,20220408
016360,삼성증권,금융,증권,20220408
008560,메리츠증권,금융,증권,20220408
005940,NH투자증권,금융,증권,20220408
138040,메리츠금융지주,금융,증권,20220408
039490,키움증권,금융,증권,20220408
003540,대신증권,금융,증권,20220408
003530,한화투자증권,금융,증권,20220408
023590,다우기술,금융,증권,20220408
003470,유안타증권,금융,증권,20220408
001510,SK증권,금융,증권,20220408
030210,다올투자증권,금융,증권,20220408
001200,유진투자증권,금융,증권,20220408
001720,신영증권,금융,증권,20220408
016610,DB금융투자,금융,증권,20220408
032190,다우데이타,금융,증권,20220408
001500,현대차증권,금융,증권,20220408
030610,교보증권,금융,증권,20220408
078020,이베스트투자증권,금융,증권,20220408
001750,한양증권,금융,증권,20220408
001270,부국증권,금융,증권,20220408
003460,유화증권,금융,증권,20220408
001290,상상인증권,금융,증권,20220408
190650,코리아에셋투자증권,금융,증권,20220408
029780,삼성카드,금융,다각화된금융,20220408
041190,우리기술투자,금융,다각화된금융,20220408
010050,우리종금,금융,다각화된금융,20220408
021080,에이티넘인베스트,금융,다각화된금융,20220408
100790,미래에셋벤처투자,금융,다각화된금융,20220408
008060,대덕,금융,다각화된금융,20220408
027360,아주IB투자,금융,다각화된금융,20220408
019550,SBI인베스트먼트,금융,다각화된금융,20220408
012700,리드코프,금융,다각화된금융,20220408
289080,SV인베스트먼트,금융,다각화된금융,20220408
241520,DSC인베스트먼트,금융,다각화된금융,20220408
019590,엠벤처투자,금융,다각화된금융,20220408
380440,엔에이치스팩19호,금융,다각화된금융,20220408
204620,글로벌텍스프리,금융,다각화된금융,20220408
298870,다올인베스트먼트,금융,다각화된금융,20220408
307870,비투엔,금융,다각화된금융,20220408
050120,ES큐브,금융,다각화된금융,20220408
016600,큐캐피탈,금융,다각화된금융,20220408
027830,대성창투,금융,다각화된금융,20220408
021880,메이슨캐피탈,금융,다각화된금융,20220408
023760,한국캐피탈,금융,다각화된금융,20220408
246690,TS인베스트먼트,금융,다각화된금융,20220408
330730,스톤브릿지벤처스,금융,다각화된금융,20220408
391060,엔에이치스팩20호,금융,다각화된금융,20220408
019570,리더스 기술투자,금융,다각화된금융,20220408
307930,컴퍼니케이,금융,다각화된금융,20220408
007330,푸른저축은행,금융,다각화된금융,20220408
023460,CNH,금융,다각화된금융,20220408
293580,나우IB,금융,다각화된금융,20220408
336570,대신밸런스제8호스팩,금융,다각화된금융,20220408
377630,삼성스팩4호,금융,다각화된금융,20220408
277070,린드먼아시아,금융,다각화된금융,20220408
336060,유안타제5호스팩,금융,다각화된금융,20220408
363260,하나금융17호스팩,금융,다각화된금융,20220408
380320,삼성머스트스팩5호,금융,다각화된금융,20220408
397500,대신밸런스제11호스팩,금융,다각화된금융,20220408
391710,엔에이치스팩21호,금융,다각화된금융,20220408
393360,신한제8호스팩,금융,다각화된금융,20220408
342550,케이비제20호스팩,금융,다각화된금융,20220408
367340,DB금융스팩8호,금융,다각화된금융,20220408
406760,하나금융21호스팩,금융,다각화된금융,20220408
367480,유안타제8호스팩,금융,다각화된금융,20220408
328380,미래에셋대우스팩3호,금융,다각화된금융,20220408
367460,유안타제7호스팩,금융,다각화된금융,20220408
396770,엔에이치스팩22호,금융,다각화된금융,20220408
388220,하나금융19호스팩,금융,다각화된금융,20220408
387310,대신밸런스제10호스팩,금융,다각화된금융,20220408
340350,SK6호스팩,금융,다각화된금융,20220408
353060,에이치엠씨제5호스팩,금융,다각화된금융,20220408
404950,DB금융스팩10호,금융,다각화된금융,20220408
400840,하이제7호스팩,금융,다각화된금융,20220408
351340,IBKS제13호스팩,금융,다각화된금융,20220408
413630,유진스팩8호,금융,다각화된금융,20220408
365590,엔에이치스팩18호,금융,다각화된금융,20220408
367360,DB금융스팩9호,금융,다각화된금융,20220408
341160,하나금융15호스팩,금융,다각화된금융,20220408
340120,하이제5호스팩,금융,다각화된금융,20220408
409570,한국제10호스팩,금융,다각화된금융,20220408
366330,신한제7호스팩,금융,다각화된금융,20220408
323280,신영스팩5호,금융,다각화된금융,20220408
372290,하나머스트7호스팩,금융,다각화된금융,20220408
377400,하이제6호스팩,금융,다각화된금융,20220408
344050,신영스팩6호,금융,다각화된금융,20220408
353490,미래에셋대우스팩 5호,금융,다각화된금융,20220408
332710,하나금융14호스팩,금융,다각화된금융,20220408
386580,한화플러스제2호스팩,금융,다각화된금융,20220408
337450,SK5호스팩,금융,다각화된금융,20220408
333050,신한제6호스팩,금융,다각화된금융,20220408
397880,교보11호스팩,금융,다각화된금융,20220408
355150,교보10호스팩,금융,다각화된금융,20220408
353070,에이치엠씨제4호스팩,금융,다각화된금융,20220408
331520,교보9호스팩,금융,다각화된금융,20220408
388800,유진스팩7호,금융,다각화된금융,20220408
343510,하나금융16호스팩,금융,다각화된금융,20220408
388790,IBKS제16호스팩,금융,다각화된금융,20220408
413600,키움제6호스팩,금융,다각화된금융,20220408
335870,IBKS제12호스팩,금융,다각화된금융,20220408
400560,하나금융20호스팩,금융,다각화된금융,20220408
349720,이베스트스팩5호,금융,다각화된금융,20220408
408920,에스케이증권7호스팩,금융,다각화된금융,20220408
373340,유진스팩6호,금융,다각화된금융,20220408
405350,IBKS제17호스팩,금융,다각화된금융,20220408
347140,케이프이에스제4호,금융,다각화된금융,20220408
000810,삼성화재,금융,보험,20220408
032830,삼성생명,금융,보험,20220408
005830,DB손해보험,금융,보험,20220408
000060,메리츠화재,금융,보험,20220408
001450,현대해상,금융,보험,20220408
000880,한화,금융,보험,20220408
088350,한화생명,금융,보험,20220408
003690,코리안리,금융,보험,20220408
000370,한화손해보험,금융,보험,20220408
082640,동양생명,금융,보험,20220408
085620,미래에셋생명,금융,보험,20220408
244920,에이플러스에셋,금융,보험,20220408
000400,롯데손해보험,금융,보험,20220408
000540,흥국화재,금융,보험,20220408
211050,인카금융서비스,금융,보험,20220408
365550,ESR켄달스퀘어리츠,금융,부동산,20220408
330590,롯데리츠,금융,부동산,20220408
395400,SK리츠,금융,부동산,20220408
348950,제이알글로벌리츠,금융,부동산,20220408
293940,신한알파리츠,금융,부동산,20220408
034830,한국토지신탁,금융,부동산,20220408
210980,SK디앤디,금융,부동산,20220408
123890,한국자산신탁,금융,부동산,20220408
417310,코람코더원리츠,금융,부동산,20220408
357120,코람코에너지리츠,금융,부동산,20220408
377190,디앤디플랫폼리츠,금융,부동산,20220408
334890,이지스밸류리츠,금융,부동산,20220408
396690,미래에셋글로벌리츠,금융,부동산,20220408
400760,NH올원리츠,금융,부동산,20220408
404990,신한서부티엔디리츠,금융,부동산,20220408
350520,이지스레지던스리츠,금융,부동산,20220408
088260,이리츠코크렙,금융,부동산,20220408
338100,NH프라임리츠,금융,부동산,20220408
357250,미래에셋맵스리츠,금융,부동산,20220408
145270,케이탑리츠,금융,부동산,20220408
015020,이스타코,금융,부동산,20220408
005110,한창,금융,부동산,20220408
204210,모두투어리츠,금융,부동산,20220408
140910,에이리츠,금융,부동산,20220408
377300,카카오페이,IT,소프트웨어와서비스,20220408
018260,삼성에스디에스,IT,소프트웨어와서비스,20220408
012510,더존비즈온,IT,소프트웨어와서비스,20220408
307950,현대오토에버,IT,소프트웨어와서비스,20220408
181710,NHN,IT,소프트웨어와서비스,20220408
053800,안랩,IT,소프트웨어와서비스,20220408
060250,NHN한국사이버결제,IT,소프트웨어와서비스,20220408
064260,다날,IT,소프트웨어와서비스,20220408
030520,한글과컴퓨터,IT,소프트웨어와서비스,20220408
042000,카페24,IT,소프트웨어와서비스,20220408
376300,디어유,IT,소프트웨어와서비스,20220408
035600,KG이니시스,IT,소프트웨어와서비스,20220408
022100,포스코 ICT,IT,소프트웨어와서비스,20220408
377030,맥스트,IT,소프트웨어와서비스,20220408
052400,코나아이,IT,소프트웨어와서비스,20220408
045390,대아티아이,IT,소프트웨어와서비스,20220408
294570,쿠콘,IT,소프트웨어와서비스,20220408
376980,원티드랩,IT,소프트웨어와서비스,20220408
053580,웹케시,IT,소프트웨어와서비스,20220408
347860,알체라,IT,소프트웨어와서비스,20220408
035510,신세계 I&C,IT,소프트웨어와서비스,20220408
286940,롯데정보통신,IT,소프트웨어와서비스,20220408
046440,KG모빌리언스,IT,소프트웨어와서비스,20220408
053300,한국정보인증,IT,소프트웨어와서비스,20220408
131370,알서포트,IT,소프트웨어와서비스,20220408
093320,케이아이엔엑스,IT,소프트웨어와서비스,20220408
214180,민앤지,IT,소프트웨어와서비스,20220408
094480,갤럭시아머니트리,IT,소프트웨어와서비스,20220408
079940,가비아,IT,소프트웨어와서비스,20220408
301300,바이브컴퍼니,IT,소프트웨어와서비스,20220408
203650,드림시큐리티,IT,소프트웨어와서비스,20220408
139670,키네마스터,IT,소프트웨어와서비스,20220408
234340,세틀뱅크,IT,소프트웨어와서비스,20220408
040350,큐로컴,IT,소프트웨어와서비스,20220408
357880,비트나인,IT,소프트웨어와서비스,20220408
058970,엠로,IT,소프트웨어와서비스,20220408
063570,한국전자금융,IT,소프트웨어와서비스,20220408
054920,한컴위드,IT,소프트웨어와서비스,20220408
136540,윈스,IT,소프트웨어와서비스,20220408
041460,한국전자인증,IT,소프트웨어와서비스,20220408
086960,한컴MDS,IT,소프트웨어와서비스,20220408
192250,케이사인,IT,소프트웨어와서비스,20220408
352910,오비고,IT,소프트웨어와서비스,20220408
042510,라온시큐어,IT,소프트웨어와서비스,20220408
163730,핑거,IT,소프트웨어와서비스,20220408
012030,DB,IT,소프트웨어와서비스,20220408
304100,솔트룩스,IT,소프트웨어와서비스,20220408
039290,인포뱅크,IT,소프트웨어와서비스,20220408
205100,엑셈,IT,소프트웨어와서비스,20220408
047560,이스트소프트,IT,소프트웨어와서비스,20220408
377480,마인즈랩,IT,소프트웨어와서비스,20220408
031820,콤텍시스템,IT,소프트웨어와서비스,20220408
049480,오픈베이스,IT,소프트웨어와서비스,20220408
234300,에스트래픽,IT,소프트웨어와서비스,20220408
032680,소프트센,IT,소프트웨어와서비스,20220408
053980,오상자이엘,IT,소프트웨어와서비스,20220408
094860,네오리진,IT,소프트웨어와서비스,20220408
303530,이노뎁,IT,소프트웨어와서비스,20220408
276040,스코넥,IT,소프트웨어와서비스,20220408
150900,파수,IT,소프트웨어와서비스,20220408
158430,아톤,IT,소프트웨어와서비스,20220408
138580,비즈니스온,IT,소프트웨어와서비스,20220408
315640,딥노이드,IT,소프트웨어와서비스,20220408
367000,플래티어,IT,소프트웨어와서비스,20220408
041020,폴라리스오피스,IT,소프트웨어와서비스,20220408
069410,엔텔스,IT,소프트웨어와서비스,20220408
052600,한네트,IT,소프트웨어와서비스,20220408
321820,와이더플래닛,IT,소프트웨어와서비스,20220408
189330,씨이랩,IT,소프트웨어와서비스,20220408
139050,시티랩스,IT,소프트웨어와서비스,20220408
020180,대신정보통신,IT,소프트웨어와서비스,20220408
242040,나무기술,IT,소프트웨어와서비스,20220408
099390,브레인즈컴퍼니,IT,소프트웨어와서비스,20220408
067920,이글루시큐리티,IT,소프트웨어와서비스,20220408
039420,케이엘넷,IT,소프트웨어와서비스,20220408
219420,링크제니시스,IT,소프트웨어와서비스,20220408
046110,한일네트웍스,IT,소프트웨어와서비스,20220408
065370,위세아이텍,IT,소프트웨어와서비스,20220408
079970,투비소프트,IT,소프트웨어와서비스,20220408
064850,에프앤가이드,IT,소프트웨어와서비스,20220408
040160,누리플렉스,IT,소프트웨어와서비스,20220408
262840,아이퀘스트,IT,소프트웨어와서비스,20220408
220180,핸디소프트,IT,소프트웨어와서비스,20220408
039310,세중,IT,소프트웨어와서비스,20220408
042500,링네트,IT,소프트웨어와서비스,20220408
060850,영림원소프트랩,IT,소프트웨어와서비스,20220408
065440,이루온,IT,소프트웨어와서비스,20220408
045510,정원엔시스,IT,소프트웨어와서비스,20220408
288980,모아데이타,IT,소프트웨어와서비스,20220408
064480,브리지텍,IT,소프트웨어와서비스,20220408
065710,서호전기,IT,소프트웨어와서비스,20220408
263860,지니언스,IT,소프트웨어와서비스,20220408
075130,플랜티넷,IT,소프트웨어와서비스,20220408
067010,이씨에스,IT,소프트웨어와서비스,20220408
279600,미디어젠,IT,소프트웨어와서비스,20220408
263800,데이타솔루션,IT,소프트웨어와서비스,20220408
007120,미래아이앤지,IT,소프트웨어와서비스,20220408
072130,유엔젤,IT,소프트웨어와서비스,20220408
267850,아시아나IDT,IT,소프트웨어와서비스,20220408
010280,쌍용정보통신,IT,소프트웨어와서비스,20220408
050960,수산아이앤티,IT,소프트웨어와서비스,20220408
131090,시큐브,IT,소프트웨어와서비스,20220408
085810,알티캐스트,IT,소프트웨어와서비스,20220408
049470,SGA,IT,소프트웨어와서비스,20220408
053350,이니텍,IT,소프트웨어와서비스,20220408
184230,SGA솔루션즈,IT,소프트웨어와서비스,20220408
258790,소프트캠프,IT,소프트웨어와서비스,20220408
039980,리노스,IT,소프트웨어와서비스,20220408
115310,인포바인,IT,소프트웨어와서비스,20220408
100030,모바일리더,IT,소프트웨어와서비스,20220408
351330,이삭엔지니어링,IT,소프트웨어와서비스,20220408
189690,포시에스,IT,소프트웨어와서비스,20220408
197140,디지캡,IT,소프트웨어와서비스,20220408
078000,텔코웨어,IT,소프트웨어와서비스,20220408
290270,휴네시온,IT,소프트웨어와서비스,20220408
322180,티라유텍,IT,소프트웨어와서비스,20220408
356890,싸이버원,IT,소프트웨어와서비스,20220408
115500,케이씨에스,IT,소프트웨어와서비스,20220408
067730,로지시스,IT,소프트웨어와서비스,20220408
372800,아이티아이즈,IT,소프트웨어와서비스,20220408
208350,지란지교시큐리티,IT,소프트웨어와서비스,20220408
070590,한솔인티큐브,IT,소프트웨어와서비스,20220408
169330,엠브레인,IT,소프트웨어와서비스,20220408
173130,오파스넷,IT,소프트웨어와서비스,20220408
153460,네이블,IT,소프트웨어와서비스,20220408
275630,에스에스알,IT,소프트웨어와서비스,20220408
