종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
036030,-0.32,5.93,3.14,-9.42,-28.0,-42.4
092220,-2.13,3.65,-3.87,-12.35,36.7,12.88
045390,-0.62,5.62,0.0,-6.16,-26.12,-11.04
035420,-2.46,4.96,2.42,-16.67,-25.03,-17.1
018310,14.15,40.12,67.14,80.0,51.95,125.0
330860,-0.23,2.33,-4.46,1.39,-6.2,-3.52
192650,-1.8,2.35,11.0,15.71,0.0,12.95
017810,-0.9,3.12,2.16,5.08,-2.36,-2.65
041830,1.96,15.56,26.52,17.65,-10.65,38.3
048530,2.02,16.43,14.77,-12.55,-4.72,-7.76
100120,-2.43,8.81,-1.71,13.1,-4.4,25.86
064350,0.5,6.58,8.87,7.14,-21.21,1.25
268600,-3.51,7.29,-0.94,-22.8,-53.11,-73.62
005070,-1.79,3.93,-3.65,-11.03,-8.81,79.39
140410,-5.08,2.69,-10.41,-10.6,-12.41,6.41
017960,5.44,10.53,16.67,35.05,22.33,7.23
025900,-2.18,7.32,5.43,-35.26,0.42,40.23
138080,-0.18,6.19,-0.18,-6.14,-25.82,-41.71
011200,14.19,15.88,61.64,50.0,-12.92,92.39
000070,-1.18,2.44,-2.67,-7.79,-18.84,-3.45
007690,3.15,14.81,9.48,13.27,-8.82,40.27
071320,-0.41,2.4,2.11,-0.68,-9.15,-3.33
268280,1.3,0.26,-4.17,-5.33,5.68,73.78
001720,0.16,-0.16,4.83,8.81,-0.63,13.11
032190,0.74,4.62,2.64,4.62,0.37,2.26
058470,-0.94,2.22,-1.96,-9.19,2.45,11.4
284740,-1.04,2.43,9.68,-0.26,-7.44,-3.68
004490,-1.06,6.5,6.68,-12.32,-20.32,-29.8
002310,-0.32,2.74,-1.16,-6.3,-5.16,2.4
027710,1.63,-7.57,41.21,32.24,32.55,61.03
090460,-2.21,5.57,-7.01,-5.69,0.76,8.45
011790,-3.2,5.84,-2.86,-31.31,-10.82,12.4
048260,0.0,0.0,0.0,27.41,-12.18,91.8
025770,-0.11,2.68,0.23,3.53,-2.97,-3.4
036460,7.4,14.68,30.39,30.39,27.3,38.69
383220,-2.08,3.42,3.42,1.93,14.95,
023410,1.35,8.81,10.66,10.41,-3.37,-1.81
298040,1.03,8.52,11.62,-1.84,-17.46,-20.81
214150,0.55,2.51,19.87,6.36,-23.65,24.32
005380,-2.82,-0.29,-8.97,-11.76,-17.86,-29.59
091990,-2.96,8.79,4.96,-17.43,-45.13,-48.83
010060,0.0,13.75,24.15,0.92,-8.33,-10.2
377030,-2.6,7.63,3.7,-36.74,-32.25,
377300,-2.38,6.3,13.89,-34.17,,
025980,-0.21,5.88,7.45,-4.09,-16.71,25.44
321550,-0.58,7.59,2.41,-4.23,-14.79,-3.13
001740,0.33,5.43,1.11,-4.8,-17.84,-17.84
075580,3.85,11.85,7.86,41.39,20.99,48.92
053800,-2.12,6.62,-9.41,5.64,7.28,-24.67
078930,0.84,3.06,9.65,12.13,1.33,5.26
028300,-1.92,6.41,-3.15,-14.72,-42.08,-2.82
