종목코드,지수코드,지수명,날짜
011760,1004,코스피 소형주,20220224
248170,1004,코스피 소형주,20220224
074610,1004,코스피 소형주,20220224
090350,1004,코스피 소형주,20220224
014790,1004,코스피 소형주,20220224
015890,1004,코스피 소형주,20220224
002210,1004,코스피 소형주,20220224
004710,1004,코스피 소형주,20220224
005680,1004,코스피 소형주,20220224
007210,1004,코스피 소형주,20220224
001250,1004,코스피 소형주,20220224
023800,1004,코스피 소형주,20220224
267850,1004,코스피 소형주,20220224
094280,1004,코스피 소형주,20220224
009270,1004,코스피 소형주,20220224
009810,1004,코스피 소형주,20220224
001340,1004,코스피 소형주,20220224
004970,1004,코스피 소형주,20220224
006220,1004,코스피 소형주,20220224
008040,1004,코스피 소형주,20220224
000430,1004,코스피 소형주,20220224
033530,1004,코스피 소형주,20220224
200880,1004,코스피 소형주,20220224
078520,1004,코스피 소형주,20220224
092200,1004,코스피 소형주,20220224
001750,1004,코스피 소형주,20220224
013360,1004,코스피 소형주,20220224
004960,1004,코스피 소형주,20220224
334890,1004,코스피 소형주,20220224
012800,1004,코스피 소형주,20220224
267290,1004,코스피 소형주,20220224
063160,1004,코스피 소형주,20220224
069460,1004,코스피 소형주,20220224
003830,1004,코스피 소형주,20220224
012030,1004,코스피 소형주,20220224
025820,1004,코스피 소형주,20220224
009470,1004,코스피 소형주,20220224
244920,1004,코스피 소형주,20220224
102280,1004,코스피 소형주,20220224
103590,1004,코스피 소형주,20220224
105840,1004,코스피 소형주,20220224
134380,1004,코스피 소형주,20220224
008700,1004,코스피 소형주,20220224
002450,1004,코스피 소형주,20220224
014530,1004,코스피 소형주,20220224
017900,1004,코스피 소형주,20220224
003560,1004,코스피 소형주,20220224
004140,1004,코스피 소형주,20220224
007280,1004,코스피 소형주,20220224
002170,1004,코스피 소형주,20220224
009070,1004,코스피 소형주,20220224
210540,1004,코스피 소형주,20220224
002360,1004,코스피 소형주,20220224
308170,1004,코스피 소형주,20220224
015540,1004,코스피 소형주,20220224
003650,1004,코스피 소형주,20220224
004080,1004,코스피 소형주,20220224
004310,1004,코스피 소형주,20220224
004540,1004,코스피 소형주,20220224
006380,1004,코스피 소형주,20220224
006890,1004,코스피 소형주,20220224
000180,1004,코스피 소형주,20220224
000300,1004,코스피 소형주,20220224
000320,1004,코스피 소형주,20220224
000860,1004,코스피 소형주,20220224
282690,1004,코스피 소형주,20220224
089470,1004,코스피 소형주,20220224
091090,1004,코스피 소형주,20220224
100840,1004,코스피 소형주,20220224
120030,1004,코스피 소형주,20220224
008970,1004,코스피 소형주,20220224
002700,1004,코스피 소형주,20220224
032560,1004,코스피 소형주,20220224
003460,1004,코스피 소형주,20220224
005430,1004,코스피 소형주,20220224
007110,1004,코스피 소형주,20220224
000700,1004,코스피 소형주,20220224
016880,1004,코스피 소형주,20220224
053690,1004,코스피 소형주,20220224
002880,1004,코스피 소형주,20220224
092440,1004,코스피 소형주,20220224
101140,1004,코스피 소형주,20220224
123690,1004,코스피 소형주,20220224
010040,1004,코스피 소형주,20220224
019440,1004,코스피 소형주,20220224
004150,1004,코스피 소형주,20220224
004720,1004,코스피 소형주,20220224
005010,1004,코스피 소형주,20220224
005740,1004,코스피 소형주,20220224
006340,1004,코스피 소형주,20220224
000220,1004,코스피 소형주,20220224
000230,1004,코스피 소형주,20220224
071970,1004,코스피 소형주,20220224
000890,1004,코스피 소형주,20220224
002630,1004,코스피 소형주,20220224
003350,1004,코스피 소형주,20220224
003480,1004,코스피 소형주,20220224
003610,1004,코스피 소형주,20220224
004060,1004,코스피 소형주,20220224
004440,1004,코스피 소형주,20220224
005320,1004,코스피 소형주,20220224
006660,1004,코스피 소형주,20220224
008260,1004,코스피 소형주,20220224
009190,1004,코스피 소형주,20220224
011150,1004,코스피 소형주,20220224
012690,1004,코스피 소형주,20220224
014580,1004,코스피 소형주,20220224
017180,1004,코스피 소형주,20220224
017550,1004,코스피 소형주,20220224
024890,1004,코스피 소형주,20220224
025750,1004,코스피 소형주,20220224
034300,1004,코스피 소형주,20220224
034590,1004,코스피 소형주,20220224
044820,1004,코스피 소형주,20220224
047400,1004,코스피 소형주,20220224
067830,1004,코스피 소형주,20220224
000520,1004,코스피 소형주,20220224
264900,1004,코스피 소형주,20220224
001550,1004,코스피 소형주,20220224
002600,1004,코스피 소형주,20220224
002760,1004,코스피 소형주,20220224
003780,1004,코스피 소형주,20220224
005750,1004,코스피 소형주,20220224
005870,1004,코스피 소형주,20220224
007540,1004,코스피 소형주,20220224
007980,1004,코스피 소형주,20220224
008250,1004,코스피 소형주,20220224
009460,1004,코스피 소형주,20220224
010960,1004,코스피 소형주,20220224
011700,1004,코스피 소형주,20220224
011810,1004,코스피 소형주,20220224
012200,1004,코스피 소형주,20220224
015230,1004,코스피 소형주,20220224
016740,1004,코스피 소형주,20220224
023000,1004,코스피 소형주,20220224
134790,1004,코스피 소형주,20220224
000910,1004,코스피 소형주,20220224
350520,1004,코스피 소형주,20220224
380440,1004,코스피 소형주,20220224
001290,1004,코스피 소형주,20220224
003720,1004,코스피 소형주,20220224
004270,1004,코스피 소형주,20220224
004410,1004,코스피 소형주,20220224
005800,1004,코스피 소형주,20220224
006370,1004,코스피 소형주,20220224
008110,1004,코스피 소형주,20220224
009200,1004,코스피 소형주,20220224
016090,1004,코스피 소형주,20220224
024900,1004,코스피 소형주,20220224
031820,1004,코스피 소형주,20220224
035000,1004,코스피 소형주,20220224
075180,1004,코스피 소형주,20220224
118000,1004,코스피 소형주,20220224
133820,1004,코스피 소형주,20220224
143210,1004,코스피 소형주,20220224
214420,1004,코스피 소형주,20220224
001260,1004,코스피 소형주,20220224
357250,1004,코스피 소형주,20220224
227840,1004,코스피 소형주,20220224
001140,1004,코스피 소형주,20220224
002220,1004,코스피 소형주,20220224
002410,1004,코스피 소형주,20220224
002720,1004,코스피 소형주,20220224
004450,1004,코스피 소형주,20220224
004770,1004,코스피 소형주,20220224
004840,1004,코스피 소형주,20220224
004910,1004,코스피 소형주,20220224
006090,1004,코스피 소형주,20220224
007590,1004,코스피 소형주,20220224
009180,1004,코스피 소형주,20220224
009320,1004,코스피 소형주,20220224
010580,1004,코스피 소형주,20220224
011090,1004,코스피 소형주,20220224
011330,1004,코스피 소형주,20220224
011390,1004,코스피 소형주,20220224
013520,1004,코스피 소형주,20220224
013700,1004,코스피 소형주,20220224
013870,1004,코스피 소형주,20220224
014710,1004,코스피 소형주,20220224
015590,1004,코스피 소형주,20220224
017040,1004,코스피 소형주,20220224
021050,1004,코스피 소형주,20220224
023810,1004,코스피 소형주,20220224
058850,1004,코스피 소형주,20220224
078000,1004,코스피 소형주,20220224
100220,1004,코스피 소형주,20220224
119650,1004,코스피 소형주,20220224
129260,1004,코스피 소형주,20220224
163560,1004,코스피 소형주,20220224
000500,1004,코스피 소형주,20220224
338100,1004,코스피 소형주,20220224
378850,1004,코스피 소형주,20220224
001080,1004,코스피 소형주,20220224
001560,1004,코스피 소형주,20220224
002140,1004,코스피 소형주,20220224
002200,1004,코스피 소형주,20220224
006200,1004,코스피 소형주,20220224
006980,1004,코스피 소형주,20220224
008420,1004,코스피 소형주,20220224
008600,1004,코스피 소형주,20220224
009440,1004,코스피 소형주,20220224
010600,1004,코스피 소형주,20220224
010640,1004,코스피 소형주,20220224
012160,1004,코스피 소형주,20220224
012170,1004,코스피 소형주,20220224
027970,1004,코스피 소형주,20220224
049800,1004,코스피 소형주,20220224
090080,1004,코스피 소형주,20220224
111110,1004,코스피 소형주,20220224
155660,1004,코스피 소형주,20220224
000650,1004,코스피 소형주,20220224
000040,1004,코스피 소형주,20220224
109070,1004,코스피 소형주,20220224
001020,1004,코스피 소형주,20220224
001380,1004,코스피 소형주,20220224
002070,1004,코스피 소형주,20220224
002920,1004,코스피 소형주,20220224
003010,1004,코스피 소형주,20220224
003080,1004,코스피 소형주,20220224
004870,1004,코스피 소형주,20220224
005360,1004,코스피 소형주,20220224
010100,1004,코스피 소형주,20220224
012320,1004,코스피 소형주,20220224
014440,1004,코스피 소형주,20220224
015020,1004,코스피 소형주,20220224
019180,1004,코스피 소형주,20220224
021820,1004,코스피 소형주,20220224
023960,1004,코스피 소형주,20220224
026940,1004,코스피 소형주,20220224
027740,1004,코스피 소형주,20220224
041650,1004,코스피 소형주,20220224
058730,1004,코스피 소형주,20220224
058860,1004,코스피 소형주,20220224
085310,1004,코스피 소형주,20220224
092780,1004,코스피 소형주,20220224
000590,1004,코스피 소형주,20220224
145270,1004,코스피 소형주,20220224
123700,1004,코스피 소형주,20220224
000950,1004,코스피 소형주,20220224
002870,1004,코스피 소형주,20220224
008870,1004,코스피 소형주,20220224
009310,1004,코스피 소형주,20220224
009770,1004,코스피 소형주,20220224
011420,1004,코스피 소형주,20220224
012280,1004,코스피 소형주,20220224
014130,1004,코스피 소형주,20220224
014990,1004,코스피 소형주,20220224
020760,1004,코스피 소형주,20220224
023150,1004,코스피 소형주,20220224
023350,1004,코스피 소형주,20220224
025620,1004,코스피 소형주,20220224
051630,1004,코스피 소형주,20220224
071090,1004,코스피 소형주,20220224
090370,1004,코스피 소형주,20220224
093240,1004,코스피 소형주,20220224
000850,1004,코스피 소형주,20220224
001620,1004,코스피 소형주,20220224
002690,1004,코스피 소형주,20220224
002820,1004,코스피 소형주,20220224
006570,1004,코스피 소형주,20220224
006880,1004,코스피 소형주,20220224
145210,1004,코스피 소형주,20220224
025560,1004,코스피 소형주,20220224
044380,1004,코스피 소형주,20220224
069730,1004,코스피 소형주,20220224
072130,1004,코스피 소형주,20220224
084670,1004,코스피 소형주,20220224
017370,1004,코스피 소형주,20220224
153360,1004,코스피 소형주,20220224
069640,1004,코스피 소형주,20220224
000760,1004,코스피 소형주,20220224
004100,1004,코스피 소형주,20220224
005110,1004,코스피 소형주,20220224
005820,1004,코스피 소형주,20220224
007120,1004,코스피 소형주,20220224
007610,1004,코스피 소형주,20220224
009140,1004,코스피 소형주,20220224
010400,1004,코스피 소형주,20220224
010660,1004,코스피 소형주,20220224
010770,1004,코스피 소형주,20220224
011300,1004,코스피 소형주,20220224
014910,1004,코스피 소형주,20220224
015260,1004,코스피 소형주,20220224
024070,1004,코스피 소형주,20220224
025530,1004,코스피 소형주,20220224
025890,1004,코스피 소형주,20220224
155900,1004,코스피 소형주,20220224
204210,1004,코스피 소형주,20220224
088790,1004,코스피 소형주,20220224
001420,1004,코스피 소형주,20220224
001770,1004,코스피 소형주,20220224
002420,1004,코스피 소형주,20220224
003680,1004,코스피 소형주,20220224
004920,1004,코스피 소형주,20220224
008500,1004,코스피 소형주,20220224
010420,1004,코스피 소형주,20220224
011230,1004,코스피 소형주,20220224
012600,1004,코스피 소형주,20220224
013000,1004,코스피 소형주,20220224
018500,1004,코스피 소형주,20220224
030720,1004,코스피 소형주,20220224
084870,1004,코스피 소형주,20220224
001210,1004,코스피 소형주,20220224
140910,1004,코스피 소형주,20220224
005030,1004,코스피 소형주,20220224
071950,1004,코스피 소형주,20220224
030790,1004,코스피 소형주,20220224
033250,1004,코스피 소형주,20220224
019490,1004,코스피 소형주,20220224
091990,2203,코스닥 150,20220224
247540,2203,코스닥 150,20220224
066970,2203,코스닥 150,20220224
263750,2203,코스닥 150,20220224
293490,2203,코스닥 150,20220224
112040,2203,코스닥 150,20220224
028300,2203,코스닥 150,20220224
068760,2203,코스닥 150,20220224
035760,2203,코스닥 150,20220224
278280,2203,코스닥 150,20220224
096530,2203,코스닥 150,20220224
058470,2203,코스닥 150,20220224
253450,2203,코스닥 150,20220224
196170,2203,코스닥 150,20220224
048260,2203,코스닥 150,20220224
108320,2203,코스닥 150,20220224
240810,2203,코스닥 150,20220224
237690,2203,코스닥 150,20220224
357780,2203,코스닥 150,20220224
145020,2203,코스닥 150,20220224
086520,2203,코스닥 150,20220224
005290,2203,코스닥 150,20220224
035900,2203,코스닥 150,20220224
041510,2203,코스닥 150,20220224
067160,2203,코스닥 150,20220224
222800,2203,코스닥 150,20220224
034230,2203,코스닥 150,20220224
140410,2203,코스닥 150,20220224
056190,2203,코스닥 150,20220224
078340,2203,코스닥 150,20220224
025900,2203,코스닥 150,20220224
064760,2203,코스닥 150,20220224
078600,2203,코스닥 150,20220224
098460,2203,코스닥 150,20220224
039030,2203,코스닥 150,20220224
298380,2203,코스닥 150,20220224
032500,2203,코스닥 150,20220224
195940,2203,코스닥 150,20220224
214150,2203,코스닥 150,20220224
030190,2203,코스닥 150,20220224
048410,2203,코스닥 150,20220224
122870,2203,코스닥 150,20220224
095700,2203,코스닥 150,20220224
036930,2203,코스닥 150,20220224
036540,2203,코스닥 150,20220224
144510,2203,코스닥 150,20220224
141080,2203,코스닥 150,20220224
200130,2203,코스닥 150,20220224
215200,2203,코스닥 150,20220224
166090,2203,코스닥 150,20220224
084370,2203,코스닥 150,20220224
067630,2203,코스닥 150,20220224
085660,2203,코스닥 150,20220224
086450,2203,코스닥 150,20220224
213420,2203,코스닥 150,20220224
137400,2203,코스닥 150,20220224
007390,2203,코스닥 150,20220224
003380,2203,코스닥 150,20220224
064550,2203,코스닥 150,20220224
039200,2203,코스닥 150,20220224
068240,2203,코스닥 150,20220224
214450,2203,코스닥 150,20220224
022100,2203,코스닥 150,20220224
060250,2203,코스닥 150,20220224
140860,2203,코스닥 150,20220224
206650,2203,코스닥 150,20220224
272290,2203,코스닥 150,20220224
000250,2203,코스닥 150,20220224
069080,2203,코스닥 150,20220224
222080,2203,코스닥 150,20220224
084850,2203,코스닥 150,20220224
256840,2203,코스닥 150,20220224
046890,2203,코스닥 150,20220224
025980,2203,코스닥 150,20220224
086900,2203,코스닥 150,20220224
218410,2203,코스닥 150,20220224
383310,2203,코스닥 150,20220224
033290,2203,코스닥 150,20220224
319660,2203,코스닥 150,20220224
290650,2203,코스닥 150,20220224
084990,2203,코스닥 150,20220224
235980,2203,코스닥 150,20220224
131290,2203,코스닥 150,20220224
041190,2203,코스닥 150,20220224
194480,2203,코스닥 150,20220224
091700,2203,코스닥 150,20220224
053800,2203,코스닥 150,20220224
131970,2203,코스닥 150,20220224
074600,2203,코스닥 150,20220224
033640,2203,코스닥 150,20220224
151910,2203,코스닥 150,20220224
090460,2203,코스닥 150,20220224
089980,2203,코스닥 150,20220224
178320,2203,코스닥 150,20220224
100090,2203,코스닥 150,20220224
036830,2203,코스닥 150,20220224
101490,2203,코스닥 150,20220224
082270,2203,코스닥 150,20220224
048530,2203,코스닥 150,20220224
230360,2203,코스닥 150,20220224
267980,2203,코스닥 150,20220224
006730,2203,코스닥 150,20220224
323990,2203,코스닥 150,20220224
268600,2203,코스닥 150,20220224
041960,2203,코스닥 150,20220224
032190,2203,코스닥 150,20220224
038540,2203,코스닥 150,20220224
060720,2203,코스닥 150,20220224
293780,2203,코스닥 150,20220224
104480,2203,코스닥 150,20220224
183300,2203,코스닥 150,20220224
095610,2203,코스닥 150,20220224
035080,2203,코스닥 150,20220224
035600,2203,코스닥 150,20220224
038500,2203,코스닥 150,20220224
294570,2203,코스닥 150,20220224
061970,2203,코스닥 150,20220224
092040,2203,코스닥 150,20220224
243070,2203,코스닥 150,20220224
060150,2203,코스닥 150,20220224
104830,2203,코스닥 150,20220224
290510,2203,코스닥 150,20220224
078130,2203,코스닥 150,20220224
027360,2203,코스닥 150,20220224
036810,2203,코스닥 150,20220224
088800,2203,코스닥 150,20220224
058820,2203,코스닥 150,20220224
080160,2203,코스닥 150,20220224
042000,2203,코스닥 150,20220224
102710,2203,코스닥 150,20220224
078020,2203,코스닥 150,20220224
029960,2203,코스닥 150,20220224
092190,2203,코스닥 150,20220224
053030,2203,코스닥 150,20220224
052400,2203,코스닥 150,20220224
204270,2203,코스닥 150,20220224
015750,2203,코스닥 150,20220224
023410,2203,코스닥 150,20220224
084110,2203,코스닥 150,20220224
030530,2203,코스닥 150,20220224
265520,2203,코스닥 150,20220224
131370,2203,코스닥 150,20220224
045390,2203,코스닥 150,20220224
299660,2203,코스닥 150,20220224
108230,2203,코스닥 150,20220224
018000,2203,코스닥 150,20220224
138080,2203,코스닥 150,20220224
119860,2203,코스닥 150,20220224
183490,2203,코스닥 150,20220224
033310,2203,코스닥 150,20220224
