종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,DT
054050,농우바이오,2002-04-02,8860,142030770460,7610,67319490,16030561,15198.0,20.51,0.58,432.0,2.26,200.0,20221212
012340,뉴인텍,1997-02-12,2880,86708626560,58559,168328265,30107162,925.0,240.0,3.11,12.0,0.0,0.0,20221212
270870,뉴트리,2018-12-13,9350,86022094400,6960,65546910,9200224,10475.0,4.19,0.89,2234.0,2.67,250.0,20221212
340360,다보링크,2019-12-19,927,39643303320,161209,151600557,42765160,575.0,0.0,1.61,0.0,0.0,0.0,20221212
032190,다우데이타,1999-12-21,27300,1045590000000,319380,8596786700,38300000,24053.0,7.11,1.13,3838.0,1.1,300.0,20221212
078140,대봉엘에스,2005-12-23,7880,87362242520,150059,1182259580,11086579,9993.0,12.73,0.79,619.0,0.63,50.0,20221212
438220,대신밸런스제13호스팩,2022-11-28,2000,11280000000,36619,73350350,5640000,0.0,0.0,0.0,0.0,0.0,0.0,20221212
290380,대유,2018-08-10,4275,105650691300,5662016,24448812150,24713612,4883.0,10.5,0.88,407.0,0.0,0.0,20221212
290120,대유에이피,2018-12-07,6200,72257974400,12450,76812610,11654512,5723.0,8.34,1.08,743.0,3.23,200.0,20221212
023910,대한약품,1994-11-23,30800,184800000000,7070,216640600,6000000,33801.0,8.15,0.91,3778.0,1.3,400.0,20221212
213420,덕산네오룩스,2015-02-06,38150,947309478850,56711,2168526150,24831179,11561.0,19.6,3.3,1946.0,0.0,0.0,20221212
006620,동구바이오제약,2018-02-13,6160,175344350720,89808,551622980,28464992,3571.0,18.67,1.73,330.0,1.62,100.0,20221212
099410,동방선기,2009-11-10,2715,36763820430,27243,74020195,13541002,2119.0,34.81,1.28,78.0,0.0,0.0,20221212
228340,동양파일,2016-04-06,3615,72300000000,94075,339039470,20000000,5901.0,30.38,0.61,119.0,0.0,0.0,20221212
203650,드림시큐리티,2014-10-13,2925,148021830450,75461,217051125,50605754,1460.0,11.34,2.0,258.0,0.0,0.0,20221212
066900,디에이피,2004-05-14,2900,65959058700,8293,23756830,22744503,6501.0,6.26,0.45,463.0,0.0,0.0,20221212
127120,디엔에이링크,2011-12-26,3900,66665398800,28823,111147235,17093692,1999.0,0.0,1.95,0.0,0.0,0.0,20221212
033130,디지틀조선,1997-08-06,2280,84622808760,106718,243454920,37115267,2225.0,30.81,1.02,74.0,0.88,20.0,20221212
294140,레몬,2020-02-28,3740,138380000000,43520,161150930,37000000,761.0,0.0,4.91,0.0,0.0,0.0,20221212
060240,룽투코리아,2002-01-04,3130,79593658920,1348019,4227446305,25429284,2583.0,0.0,1.21,0.0,0.0,0.0,20221212
019570,리더스 기술투자,1989-03-14,494,64274963922,5562206,2773349474,130111263,397.0,0.0,1.24,0.0,0.0,0.0,20221212
219420,링크제니시스,2018-02-05,5700,65376189900,23472,134194310,11469507,3532.0,14.47,1.61,394.0,0.0,0.0,20221212
377480,마인즈랩,2021-11-23,13600,82677228800,208537,2830069850,6079208,4928.0,34.96,2.76,389.0,0.0,0.0,20221212
096640,멜파스,2009-12-18,1495,56729621325,0,0,37946235,986.0,0.0,1.52,0.0,0.0,0.0,20221212
250060,모비스,2016-09-08,1900,61125496600,2384974,4265095885,32171314,933.0,0.0,2.04,0.0,0.0,0.0,20221212
333050,모코엠시스,2019-10-31,1540,34744762360,820783,1285606015,22561534,0.0,0.0,0.0,0.0,0.0,0.0,20221212
118990,모트렉스,2017-08-04,16500,404175750000,482479,7953347750,24495500,5680.0,32.74,2.9,504.0,0.0,0.0,20221212
214610,미코바이오메드,2020-10-22,5400,98863745400,132285,732884860,18308101,2857.0,0.0,1.89,0.0,0.0,0.0,20221212
251120,바이오에프디엔씨,2022-02-21,17000,147826900000,12027,201867800,8695700,2148.0,43.15,7.91,394.0,0.0,0.0,20221212
019010,베뉴지,1993-11-05,2140,103148000000,55408,118952585,48200000,7537.0,2.07,0.28,1036.0,1.4,30.0,20221212
337930,브랜드엑스코퍼레이션,2020-08-13,5220,152771594580,32795,171783210,29266589,2324.0,19.55,2.25,267.0,1.92,100.0,20221212
365900,브이씨,2022-02-24,6570,48028671000,20349,134038510,7310300,5468.0,5.25,1.2,1251.0,0.0,0.0,20221212
146320,비씨엔씨,2022-03-03,15100,186755637300,29854,453179950,12367923,3042.0,18.64,4.96,810.0,0.0,0.0,20221212
122350,삼기,2010-03-19,3815,146264917820,241874,920503470,38339428,3677.0,0.0,1.04,0.0,0.79,30.0,20221212
023600,삼보판지,1996-05-29,10550,170593500000,55643,590920500,16170000,27697.0,3.17,0.38,3327.0,1.66,175.0,20221212
377630,삼성스팩4호,2021-05-21,5520,22190400000,35038,192361100,4020000,0.0,0.0,0.0,0.0,0.0,0.0,20221212
252990,샘씨엔에스,2021-05-20,3905,195850768630,14340,56198315,50153846,2180.0,14.9,1.79,262.0,0.0,0.0,20221212
037350,성도이엔지,2000-01-11,5070,78432900000,198719,1005314330,15470000,18146.0,3.42,0.28,1483.0,2.96,150.0,20221212
396300,세아메카닉스,2022-03-24,5010,132712395000,122270,609905680,26489500,1819.0,17.64,2.75,284.0,0.0,0.0,20221212
258830,세종메디칼,2018-05-29,2975,163132087125,2257793,6644863415,54834315,1402.0,0.0,2.12,0.0,0.0,0.0,20221212
