종목코드,종목명,산업,섹터,DT
214330,금호에이치티,경기관련소비재,자동차와부품,20240822
092200,디아이씨,경기관련소비재,자동차와부품,20240822
007860,서연,경기관련소비재,자동차와부품,20240822
038110,에코플라스틱,경기관련소비재,자동차와부품,20240822
033530,에스제이지세종,경기관련소비재,자동차와부품,20240822
013310,아진산업,경기관련소비재,자동차와부품,20240822
012860,모베이스전자,경기관련소비재,자동차와부품,20240822
354320,알멕,경기관련소비재,자동차와부품,20240822
024900,덕양산업,경기관련소비재,자동차와부품,20240822
009680,모토닉,경기관련소비재,자동차와부품,20240822
215360,우리산업,경기관련소비재,자동차와부품,20240822
017370,우신시스템,경기관련소비재,자동차와부품,20240822
010100,한국무브넥스,경기관련소비재,자동차와부품,20240822
038880,아이에이,경기관련소비재,자동차와부품,20240822
053700,삼보모터스,경기관련소비재,자동차와부품,20240822
419050,삼기이브이,경기관련소비재,자동차와부품,20240822
004100,태양금속,경기관련소비재,자동차와부품,20240822
089470,HDC현대EP,경기관련소비재,자동차와부품,20240822
145210,다이나믹디자인,경기관련소비재,자동차와부품,20240822
282690,동아타이어,경기관련소비재,자동차와부품,20240822
087260,모바일어플라이언스,경기관련소비재,자동차와부품,20240822
234100,폴라리스세원,경기관련소비재,자동차와부품,20240822
067570,엔브이에이치코리아,경기관련소비재,자동차와부품,20240822
033310,엠투엔,경기관련소비재,자동차와부품,20240822
023800,인지컨트롤스,경기관련소비재,자동차와부품,20240822
011320,유니크,경기관련소비재,자동차와부품,20240822
041930,동아화성,경기관련소비재,자동차와부품,20240822
437730,삼현,경기관련소비재,자동차와부품,20240822
047400,유니온머티리얼,경기관련소비재,자동차와부품,20240822
018500,동원금속,경기관련소비재,자동차와부품,20240822
097780,에코볼트,경기관련소비재,자동차와부품,20240822
006660,삼성공조,경기관련소비재,자동차와부품,20240822
016740,두올,경기관련소비재,자동차와부품,20240822
013520,화승코퍼레이션,경기관련소비재,자동차와부품,20240822
005710,대원산업,경기관련소비재,자동차와부품,20240822
170030,현대공업,경기관련소비재,자동차와부품,20240822
024740,한일단조,경기관련소비재,자동차와부품,20240822
101330,모베이스,경기관련소비재,자동차와부품,20240822
265560,영화테크,경기관련소비재,자동차와부품,20240822
071850,캐스텍코리아,경기관련소비재,자동차와부품,20240822
021820,세원정공,경기관련소비재,자동차와부품,20240822
122350,삼기,경기관련소비재,자동차와부품,20240822
001380,SG글로벌,경기관련소비재,자동차와부품,20240822
024910,경창산업,경기관련소비재,자동차와부품,20240822
010580,에스엠벡셀,경기관련소비재,자동차와부품,20240822
007530,와이엠,경기관련소비재,자동차와부품,20240822
013720,CBI,경기관련소비재,자동차와부품,20240822
241690,유니테크노,경기관련소비재,자동차와부품,20240822
009320,대우부품,경기관련소비재,자동차와부품,20240822
023000,삼원강재,경기관련소비재,자동차와부품,20240822
023810,인팩,경기관련소비재,자동차와부품,20240822
001620,케이비아이동국실업,경기관련소비재,자동차와부품,20240822
450140,코오롱모빌리티그룹,경기관련소비재,자동차와부품,20240822
019180,티에이치엔,경기관련소비재,자동차와부품,20240822
378850,화승알앤에이,경기관련소비재,자동차와부품,20240822
041650,상신브레이크,경기관련소비재,자동차와부품,20240822
163560,동일고무벨트,경기관련소비재,자동차와부품,20240822
353590,오토앤,경기관련소비재,자동차와부품,20240822
212560,네오오토,경기관련소비재,자동차와부품,20240822
092780,동양피스톤,경기관련소비재,자동차와부품,20240822
013870,지엠비코리아,경기관련소비재,자동차와부품,20240822
104040,대성파인텍,경기관련소비재,자동차와부품,20240822
088290,이원컴포텍,경기관련소비재,자동차와부품,20240822
002920,유성기업,경기관련소비재,자동차와부품,20240822
019540,일지테크,경기관련소비재,자동차와부품,20240822
126640,화신정공,경기관련소비재,자동차와부품,20240822
053270,구영테크,경기관련소비재,자동차와부품,20240822
012280,영화금속,경기관련소비재,자동차와부품,20240822
005030,부산주공,경기관련소비재,자동차와부품,20240822
004840,DRB동일,경기관련소비재,자동차와부품,20240822
075180,새론오토모티브,경기관련소비재,자동차와부품,20240822
308170,씨티알모빌리티,경기관련소비재,자동차와부품,20240822
033250,체시스,경기관련소비재,자동차와부품,20240822
031510,오스템,경기관련소비재,자동차와부품,20240822
130500,GH신소재,경기관련소비재,자동차와부품,20240822
045520,크린앤사이언스,경기관련소비재,자동차와부품,20240822
123700,SJM,경기관련소비재,자동차와부품,20240822
002880,대유에이텍,경기관련소비재,자동차와부품,20240822
048430,유라테크,경기관련소비재,자동차와부품,20240822
019770,서연탑메탈,경기관련소비재,자동차와부품,20240822
065500,오리엔트정공,경기관련소비재,자동차와부품,20240822
012200,계양전기,경기관련소비재,자동차와부품,20240822
078590,휴림에이텍,경기관련소비재,자동차와부품,20240822
021650,한국큐빅,경기관련소비재,자동차와부품,20240822
093380,풍강,경기관련소비재,자동차와부품,20240822
085910,네오티스,경기관련소비재,자동차와부품,20240822
090080,평화산업,경기관련소비재,자동차와부품,20240822
122690,서진오토모티브,경기관련소비재,자동차와부품,20240822
154040,다산솔루에타,경기관련소비재,자동차와부품,20240822
310870,디와이씨,경기관련소비재,자동차와부품,20240822
113810,디젠스,경기관련소비재,자동차와부품,20240822
000040,KR모터스,경기관련소비재,자동차와부품,20240822
025440,DH오토웨어,경기관련소비재,자동차와부품,20240822
198940,한주라이트메탈,경기관련소비재,자동차와부품,20240822
010770,평화홀딩스,경기관련소비재,자동차와부품,20240822
090150,아이윈,경기관련소비재,자동차와부품,20240822
001420,태원물산,경기관련소비재,자동차와부품,20240822
025530,SJM홀딩스,경기관련소비재,자동차와부품,20240822
080470,성창오토텍,경기관련소비재,자동차와부품,20240822
143210,핸즈코퍼레이션,경기관련소비재,자동차와부품,20240822
053060,세동,경기관련소비재,자동차와부품,20240822
024120,KB오토시스,경기관련소비재,자동차와부품,20240822
072470,우리산업홀딩스,경기관련소비재,자동차와부품,20240822
128540,에코캡,경기관련소비재,자동차와부품,20240822
024830,세원물산,경기관련소비재,자동차와부품,20240822
130740,티피씨글로벌,경기관련소비재,자동차와부품,20240822
290120,DH오토리드,경기관련소비재,자동차와부품,20240822
146060,율촌,경기관련소비재,자동차와부품,20240822
020400,대동금속,경기관련소비재,자동차와부품,20240822
008500,일정실업,경기관련소비재,자동차와부품,20240822
023460,CNH,경기관련소비재,자동차와부품,20240822
