종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
011810,-5.55,3.09,30.92,38.66,-1.03,7.96,20221012
077970,3.63,-5.51,-16.56,3.63,-10.45,33.85,20221012
071970,4.63,0.0,-17.06,-5.42,-25.87,-19.58,20221012
002820,-0.14,-5.0,-14.16,-20.39,-33.68,-30.67,20221012
289080,-2.83,-5.94,-21.52,-26.95,-37.76,-33.87,20221012
084870,-2.38,-4.37,-14.81,-15.46,-20.96,-37.88,20221012
089230,-6.23,-7.49,-18.78,-28.07,-41.85,-55.01,20221012
161570,-3.71,-4.3,-25.79,-23.36,-41.93,-29.43,20221012
032540,2.06,0.37,-11.69,-9.18,-37.11,-8.11,20221012
022220,-1.81,-6.21,-17.82,-25.48,-33.0,-37.33,20221012
069260,-0.25,2.79,-13.46,9.46,-9.8,-24.58,20221012
073570,-4.17,2.14,249.27,210.5,105.63,95.28,20221012
024070,-0.72,-3.35,-12.3,-13.54,-17.07,-26.31,20221012
057030,-2.33,-4.69,-17.39,-22.0,-43.7,-41.54,20221012
037270,0.24,-9.48,-29.35,-27.86,-42.91,-41.61,20221012
040300,-17.97,-22.53,49.93,54.94,55.59,65.77,20221012
051390,-1.82,-2.12,-11.14,-11.26,-24.27,-16.65,20221012
052220,-16.08,-5.47,36.51,36.07,-14.26,-6.64,20221012
079940,-0.31,-4.0,-16.61,-15.13,-32.94,-18.03,20221012
000500,-3.73,-2.82,-18.42,-30.96,-40.04,-42.38,20221012
000860,-0.48,-4.13,-8.93,-1.65,-16.73,-15.38,20221012
035250,0.85,0.63,-6.65,-1.45,-13.27,-16.02,20221012
094480,1.52,-5.63,-23.86,-32.32,-53.79,-29.79,20221012
011420,-0.83,-5.29,-10.72,-0.83,-25.88,-11.82,20221012
002100,0.23,-2.52,-15.64,-15.64,-34.56,-31.8,20221012
267290,-0.96,-5.5,-9.45,-2.6,-13.26,-17.27,20221012
012320,0.17,-3.14,-19.59,-15.17,-22.35,-20.46,20221012
011040,-0.28,-2.9,-12.69,-22.17,-32.17,-47.81,20221012
000050,-0.92,-5.26,-12.9,-12.9,-32.5,-21.45,20221012
214390,0.0,-5.47,-22.2,-30.32,-43.33,-48.83,20221012
009140,-2.3,3.24,-3.41,2.41,-14.14,-3.95,20221012
024910,1.27,4.44,-13.79,-16.84,-33.11,-45.21,20221012
013580,1.76,-3.62,-18.78,-26.38,-55.01,-54.59,20221012
012200,-4.51,5.38,-9.42,-26.22,-26.22,-38.49,20221012
012205,-0.2,0.8,-4.88,-25.11,-25.11,-31.39,20221012
002140,-8.59,-5.21,4.06,-14.93,50.4,85.22,20221012
198440,0.0,-2.87,-20.75,-21.36,-44.11,-27.53,20221012
049720,-8.42,-6.02,9.17,9.17,42.05,29.67,20221012
002240,-0.56,1.71,-6.81,-9.18,-15.44,-34.92,20221012
014570,-0.55,-2.44,-4.0,-9.55,-20.88,-18.18,20221012
098460,3.69,5.24,7.25,8.08,-18.55,-23.64,20221012
035290,-11.01,10.3,13.26,36.94,191.19,191.19,20221012
215000,0.84,-2.18,-19.67,-21.83,-34.27,-24.62,20221012
121440,-0.74,-1.65,-23.24,-21.67,-38.79,-41.97,20221012
183410,9.19,16.06,-16.91,-14.3,-35.91,47.11,20221012
076340,1.38,9.21,20.1,10.19,-2.0,-26.13,20221012
009290,-1.56,-4.05,-13.81,-12.21,-22.93,-26.61,20221012
017040,-0.99,-5.9,-22.97,-32.26,-23.71,-32.37,20221012
017900,-1.44,-3.3,-14.58,-9.89,-25.59,-36.24,20221012
026910,-1.02,-7.41,-8.8,-4.32,-11.29,-18.7,20221012
355150,0.0,0.0,0.0,9.09,7.38,14.29,20221012
331520,-6.62,-9.16,-20.22,-20.22,-20.22,-13.44,20221012
030610,0.0,-2.1,-8.94,-9.09,-27.46,-33.33,20221012
339770,0.0,-3.58,-11.1,-16.1,-35.18,-45.25,20221012
053270,-0.83,-8.62,-27.95,-26.5,-38.21,-29.12,20221012
007690,1.25,2.64,-15.11,-4.8,-20.41,-37.81,20221012
066620,-0.32,-4.28,-5.44,-2.19,-26.53,-17.63,20221012
043650,-1.58,-4.98,-12.48,-18.7,-32.98,-17.53,20221012
006050,-1.23,-2.83,-18.37,-20.0,-33.15,-35.14,20221012
060480,-1.27,-3.54,-14.98,-10.66,-25.34,-31.36,20221012
078130,0.0,-3.82,-17.92,-19.56,-38.57,-56.2,20221012
307750,-3.34,-23.25,-14.74,-12.89,-16.51,-41.93,20221012
243870,-0.64,-0.96,0.0,3.33,-5.49,-2.82,20221012
204020,0.7,-4.17,-4.65,-8.89,-6.21,1.95,20221012
083420,0.88,-2.97,42.06,65.46,16.24,20.78,20221012
186230,-0.85,-6.83,-4.13,2.65,-27.73,-24.18,20221012
014530,-0.7,0.0,-4.59,0.57,-11.42,-20.85,20221012
900070,29.9,30.81,33.81,21.93,18.38,-8.88,20221012
014280,1.91,-1.74,-22.12,-25.44,-46.24,-34.07,20221012
