종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
016710,-1.34,0.0,1.73,23.09,32.96,80.4,20220502
336570,-0.11,-3.01,2.07,74.77,74.77,118.97,20220502
020180,1.72,4.24,-30.26,5.73,13.46,-22.77,20220502
003540,-1.98,-3.35,-4.42,3.9,-16.83,-10.82,20220502
003547,0.0,-0.33,-1.62,7.45,-17.44,-4.72,20220502
003545,0.0,-0.97,-3.77,4.44,-19.26,-6.13,20220502
045390,-1.37,3.23,-2.49,-10.01,-34.42,-21.69,20220502
108380,0.0,0.66,4.47,4.11,-12.14,-18.28,20220502
006580,0.0,0.0,0.0,0.0,0.0,0.0,20220502
014160,0.0,-3.97,0.0,2.22,-7.44,-17.86,20220502
047040,-0.15,7.3,-1.89,19.22,8.16,-8.53,20220502
009320,1.51,7.06,4.21,8.8,-24.68,-5.62,20220502
042660,-0.95,0.58,7.42,31.9,0.97,-29.02,20220502
003090,-1.0,4.2,-2.78,21.68,-5.85,-18.04,20220502
069620,0.27,7.62,12.23,40.61,31.07,37.45,20220502
000430,-1.45,2.1,5.57,8.6,-19.0,-19.39,20220502
048910,-0.59,-2.04,-7.44,-2.61,-50.95,-51.45,20220502
005710,-0.16,2.89,4.92,4.07,-3.61,-22.05,20220502
006340,0.0,2.26,-6.0,15.62,5.99,37.04,20220502
006345,-0.64,0.32,-4.31,-11.14,-9.46,2.47,20220502
024890,1.58,0.0,-9.66,-10.36,-50.43,5.65,20220502
120240,3.86,5.13,-1.83,23.92,-1.83,-28.21,20220502
003310,29.91,-0.23,101.88,156.72,100.47,71.31,20220502
114920,10.03,14.62,-20.47,42.53,75.6,70.16,20220502
012800,0.24,1.19,4.17,31.58,4.17,-13.97,20220502
096350,3.68,2.1,11.67,27.32,-4.46,10.29,20220502
140520,1.07,4.56,7.21,21.84,30.26,13.22,20220502
131220,-0.68,-5.67,-8.7,9.31,-0.9,-45.11,20220502
010170,-0.42,0.0,-1.26,12.71,-26.22,-26.22,20220502
054670,-0.77,7.5,5.31,27.09,15.18,10.73,20220502
001070,-0.2,-1.1,-1.49,2.9,7.47,12.59,20220502
023910,-0.17,1.75,-1.53,6.61,-4.13,-29.49,20220502
006650,0.0,-0.98,-8.43,2.01,-17.84,-51.75,20220502
084010,0.0,4.45,8.78,18.62,20.22,5.44,20220502
001130,6.44,-0.78,4.11,31.94,15.85,18.75,20220502
003490,-0.66,0.0,-4.01,5.83,-1.64,11.34,20220502
003495,-1.05,-1.05,-4.68,7.42,-5.87,-4.08,20220502
003830,-0.39,-0.78,2.01,4.96,-6.96,-5.58,20220502
016090,-1.06,4.87,4.67,40.0,-2.78,9.38,20220502
021045,0.68,-1.32,1.36,4.2,-2.3,-0.67,20220502
067080,-0.36,-1.53,-5.01,3.09,-16.33,-30.99,20220502
192080,-0.4,-0.6,-3.31,-0.8,-22.74,-22.14,20220502
302920,-0.81,-5.02,-11.51,19.42,73.24,54.52,20220502
317330,0.0,-1.47,-10.84,-19.97,-1.68,18.73,20220502
077360,-2.82,-5.2,-51.36,-46.3,-31.94,-33.17,20220502
004830,0.84,2.69,-11.39,-44.0,-58.0,-62.08,20220502
004835,0.46,-0.46,-8.02,-41.55,-55.87,-78.5,20220502
090410,2.15,21.37,37.56,58.72,28.69,97.13,20220502
024900,-1.07,-1.52,-0.15,-6.21,-13.24,-11.1,20220502
263600,-0.49,-2.28,0.0,-0.12,4.63,-7.5,20220502
348840,-12.0,0.0,27.17,-10.93,-15.06,-39.39,20220502
145720,4.69,2.0,-3.9,28.37,3.47,19.97,20220502
227420,7.0,8.96,-3.1,-26.92,-5.87,-45.34,20220502
002150,-3.32,9.31,7.78,14.19,6.83,-8.55,20220502
006620,0.0,-0.4,-4.72,9.21,-7.78,-23.78,20220502
100130,0.17,0.0,-2.86,-2.53,-1.37,-4.63,20220502
005160,-0.99,-0.85,1.01,12.84,-9.52,-15.5,20220502
075970,1.99,3.84,13.01,33.47,-16.84,-18.1,20220502
001230,2.65,3.2,16.92,32.08,13.49,-19.21,20220502
086450,0.0,8.17,4.9,12.5,0.22,-20.63,20220502
023450,-0.49,-0.16,-0.49,-1.77,-5.86,14.66,20220502
099410,2.64,-3.81,35.39,32.89,76.27,147.55,20220502
007590,1.75,-0.73,6.98,19.06,10.18,15.18,20220502
005965,-0.15,0.94,4.19,-12.23,-15.33,14.95,20220502
026960,0.37,-2.0,-0.37,6.32,-22.25,-14.47,20220502
002210,-0.71,1.46,-6.4,4.25,-6.29,-28.41,20220502
102260,-0.21,-0.72,0.41,5.77,-16.15,-23.42,20220502
025950,0.33,-1.46,2.36,2.88,-20.03,-39.42,20220502
088130,-0.96,0.32,-5.11,-2.21,-14.07,-10.34,20220502
282690,-0.39,-1.17,2.42,16.51,-2.68,5.83,20220502
041930,0.44,-0.44,-4.2,13.43,-20.0,-3.8,20220502
001520,-0.95,4.67,-3.68,22.18,-5.99,12.95,20220502
001527,-0.86,1.47,6.46,13.82,16.11,24.01,20220502
001529,-1.62,-2.93,-2.67,5.51,1.68,40.0,20220502
084670,0.79,-2.29,-1.29,18.15,-10.7,-19.83,20220502
082640,-0.45,-2.75,1.98,12.58,-2.04,40.97,20220502
060380,-2.43,4.23,8.99,4.66,8.37,14.37,20220502
001525,0.61,-0.24,0.74,7.61,6.49,15.49,20220502
079960,-0.29,-1.15,-5.23,5.2,-11.34,-7.77,20220502
008970,0.0,2.54,17.43,30.41,-2.08,-19.14,20220502
228340,-0.72,-1.34,-9.77,14.15,3.34,-27.49,20220502
092780,0.47,0.47,-2.87,12.39,-21.08,15.62,20220502
088910,11.14,7.91,15.95,31.64,27.12,12.59,20220502
094170,-1.47,-5.49,-12.75,-28.5,-0.33,-39.19,20220502
049770,-2.81,-5.46,-1.7,-3.62,-15.61,-14.99,20220502
