종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS
196490,디에이테크놀로지,2014-11-19,5990,144088934860,170023.0,1003983140.0,24054914.0,4264.0,0.0,1.4,0.0,0.0,0.0
066900,디에이피,2004-05-14,4025,91432902060,58715.0,235266080.0,22744503.0,4604.0,14.27,0.87,282.0,0.0,0.0
127120,디엔에이링크,2011-12-26,3450,56066426640,76038.0,259739325.0,16393692.0,2361.0,0.0,1.46,0.0,0.0,0.0
033130,디지틀조선,1997-08-06,2915,108005426970,215201.0,624937010.0,37115267.0,2118.0,59.5,1.38,49.0,0.69,20.0
294140,레몬,2020-02-28,5160,190550000000,30837.0,156563525.0,37000000.0,1744.0,14.02,2.96,368.0,0.0,0.0
060240,룽투코리아,2002-01-04,6760,171139081320,385930.0,2570037270.0,25429284.0,3021.0,59.8,2.24,113.0,0.0,0.0
219420,링크제니시스,2018-02-05,7610,87512338410,41019.0,309610910.0,11469507.0,2973.0,138.4,2.56,55.0,0.0,0.0
078160,메디포스트,2005-07-29,20300,326910299400,101082.0,2038534450.0,16264194.0,7462.0,0.0,2.72,0.0,0.0,0.0
250060,모비스,2016-09-08,2210,71098603940,90047.0,197072030.0,32171314.0,747.0,0.0,2.96,0.0,0.0,0.0
118990,모트렉스,2017-08-04,5940,245150779500,488558.0,2912395630.0,41271175.0,2876.0,0.0,2.07,0.0,0.0,0.0
328380,미래에셋대우스팩3호,2019-08-20,2050,13288100000,0.0,0.0,6482000.0,0.0,0.0,0.0,0.0,0.0,0.0
214610,미코바이오메드,2020-10-22,7180,131004851720,44571.0,316701250.0,18296767.0,3083.0,0.0,2.33,0.0,0.0,0.0
251120,바이오에프디엔씨,2022-02-21,18750,163479160000,219391.0,4129242200.0,8695700.0,1680.0,56.12,11.16,334.0,0.0,0.0
019010,베뉴지,1993-11-05,2100,101461000000,68406.0,142628645.0,48200000.0,5453.0,9.72,0.39,216.0,1.43,30.0
337930,브랜드엑스코퍼레이션,2020-08-13,8230,242198087040,60780.0,498310240.0,29572416.0,2202.0,29.6,3.74,278.0,1.34,110.0
365900,브이씨,2022-02-24,13200,92937740000,573099.0,7740640400.0,6987800.0,0.0,0.0,0.0,0.0,0.0,0.0
023600,삼보판지,1996-05-29,13900,223954500000,21359.0,292977350.0,16170000.0,24231.0,6.14,0.57,2263.0,0.9,125.0
377630,삼성스팩4호,2021-05-21,4050,16200600000,18206.0,73491690.0,4020000.0,0.0,0.0,0.0,0.0,0.0,0.0
009300,삼아제약,2000-07-19,16600,106379000000,23461.0,386927400.0,6370000.0,26105.0,830.0,0.64,20.0,1.81,300.0
032280,삼일,1997-03-15,2725,44019896850,706496.0,1933932390.0,16213590.0,3709.0,0.0,0.73,0.0,1.1,30.0
252990,샘씨엔에스,2021-05-20,6500,323492306700,125798.0,807914170.0,50153846.0,61.0,41.66,106.56,156.0,0.0,0.0
086710,선진뷰티사이언스,2021-01-27,19800,122313000000,475056.0,9278084100.0,6115650.0,6402.0,31.83,3.09,622.0,0.1,20.0
080470,성창오토텍,2006-11-03,7590,55407000000,39607.0,297774640.0,7300000.0,5231.0,66.56,1.45,114.0,0.66,50.0
053450,세코닉스,2001-08-09,10100,148667670150,100586.0,1004142860.0,14792803.0,6723.0,0.0,1.5,0.0,0.0,0.0
208370,셀바스헬스케어,2014-12-17,3255,70461833000,146494.0,472549105.0,21680564.0,1148.0,93.0,2.84,35.0,0.0,0.0
192440,슈피겐코리아,2014-11-05,42450,263884609350,5666.0,239643600.0,6216363.0,54056.0,4.79,0.79,8869.0,2.83,1200.0
115570,스타플렉스,2010-01-27,5020,40082230160,23176.0,116669420.0,7984508.0,8376.0,0.0,0.6,0.0,0.0,0.0
330730,스톤브릿지벤처스,2022-02-25,5930,105842673600,580643.0,3486142360.0,17878830.0,2751.0,6.75,2.16,878.0,2.31,137.0
013810,스페코,1997-11-03,6290,92476015700,772282.0,4920393860.0,14655470.0,2807.0,10.13,2.24,621.0,0.79,50.0
139050,시티랩스,2011-07-29,806,85621511289,236378.0,191092988.0,106098527.0,435.0,0.0,1.85,0.0,0.0,0.0
344050,신영스팩6호,2020-02-12,2110,9083550000,7242.0,15245050.0,4305000.0,0.0,0.0,0.0,0.0,0.0,0.0
010280,쌍용정보통신,2000-04-14,923,58910875314,79144.0,72612655.0,63964034.0,597.0,0.0,1.55,0.0,0.0,0.0
208640,썸에이지,2014-12-29,2240,306814635690,296998.0,649599925.0,136665762.0,176.0,0.0,12.73,0.0,0.0,0.0
900120,씨케이에이치,2010-03-31,282,33485007148,4223844.0,1179225891.0,120449666.0,,,,,,
339950,아이비김영,2019-12-24,2795,125176434175,223794.0,615699195.0,44946655.0,649.0,0.0,4.31,0.0,0.0,0.0
099190,아이센스,2013-01-30,27600,379147768800,13101.0,361037100.0,13737238.0,15978.0,13.98,1.73,1974.0,0.91,250.0
068940,아이씨케이,2010-10-19,3840,132996733870,226588.0,877831030.0,34679722.0,496.0,0.0,7.74,0.0,0.0,0.0
069920,아이에스이커머스,2007-12-05,2755,70376836450,20564.0,56102540.0,25826362.0,1589.0,0.0,1.73,0.0,0.0,0.0
090150,아이윈,2006-10-20,2650,102594712870,19881503.0,54172225360.0,38497078.0,1663.0,36.3,1.59,73.0,4.53,120.0
031310,아이즈비전,1997-07-25,3845,63458006280,64566.0,246074590.0,16439898.0,6777.0,4.69,0.57,819.0,0.0,0.0
059100,아이컴포넌트,2008-12-16,6190,43132246000,29836.0,182037680.0,7070860.0,4127.0,108.6,1.5,57.0,0.0,0.0
124500,아이티센,2014-12-23,5280,105707938230,1448571.0,7752916930.0,19907333.0,2832.0,16.92,1.86,312.0,0.0,0.0
361570,알비더블유,2021-11-22,19100,151077739500,27883.0,527706100.0,7930590.0,4224.0,28.72,4.52,665.0,0.0,0.0
096610,알에프세미,2007-11-20,4470,48332807325,183743.0,815547860.0,10849115.0,3927.0,0.0,1.14,0.0,0.0,0.0
061040,알에프텍,2002-05-16,5520,177453602270,93364.0,513501310.0,32089259.0,5636.0,0.0,0.98,0.0,0.0,0.0
117670,알파홀딩스,2010-09-17,3080,68424012640,385752.0,1181050615.0,22287952.0,3730.0,0.0,0.83,0.0,0.0,0.0
310200,애니플러스,2018-12-21,4935,144490427835,1904131.0,9416864225.0,29397849.0,603.0,0.0,8.18,0.0,0.0,0.0
