종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,R2Y,DT
400760,0.39,5.34,6.51,8.92,15.99,19.22,-17.67,20240801
005945,0.33,3.18,5.73,6.95,20.97,28.07,22.7,20240801
338100,0.0,0.67,3.19,4.38,13.55,8.0,-4.33,20240801
008260,-1.62,-5.76,-0.35,-8.59,-18.49,-32.78,-10.33,20240801
004250,1.43,0.47,-10.59,-17.98,-15.38,-31.1,-53.39,20240801
004255,-0.19,0.96,-0.94,-4.7,-6.06,-11.73,-45.5,20240801
178920,4.66,0.69,5.8,40.05,25.05,-5.19,-22.24,20240801
024940,1.25,2.65,-7.28,9.06,-37.34,-27.68,-12.3,20240801
005490,3.13,1.97,-0.82,-9.15,-14.91,-38.03,53.6,20240801
327260,3.83,-3.37,11.04,7.49,-1.61,-16.15,-11.27,20240801
091340,0.4,2.47,-6.58,9.23,-12.35,-22.22,-44.22,20240801
010950,0.15,2.72,0.59,-3.0,-0.44,-9.93,-23.25,20240801
010955,0.33,-0.22,-3.32,-6.04,-6.82,-10.34,-19.75,20240801
419530,8.18,2.95,20.65,-15.24,-31.41,-50.81,,20240801
019550,0.87,0.0,-17.8,-6.05,-4.83,-8.6,-45.59,20240801
950110,0.0,-4.5,-5.45,-18.61,-31.79,-33.68,-38.59,20240801
036120,1.33,3.62,4.09,-18.79,-39.26,-40.29,-21.44,20240801
099220,4.31,1.09,18.62,-3.86,42.04,3.66,-45.99,20240801
036540,0.21,1.28,-9.85,-15.75,-25.27,-15.6,-11.69,20240801
040610,1.64,3.47,-3.97,4.64,-1.94,-3.13,-16.5,20240801
049470,0.0,0.0,0.0,0.0,-12.34,-29.39,-47.59,20240801
001380,-0.93,2.69,-2.55,25.94,86.45,95.03,81.02,20240801
004060,0.0,0.52,-1.02,-5.15,-4.91,-18.18,-37.28,20240801
001770,0.17,2.44,3.18,-5.7,-19.25,-33.33,-44.69,20240801
002360,0.53,4.6,-2.74,-10.41,-14.33,-12.75,-44.85,20240801
009160,0.27,0.13,-2.45,-9.58,-3.21,-20.27,-41.11,20240801
123700,-1.04,-1.91,-4.03,-6.85,-3.9,-18.38,-8.01,20240801
025530,1.52,4.42,-4.31,-5.3,2.66,-6.03,19.38,20240801
011790,2.42,-0.36,-11.08,22.56,81.77,40.16,1.53,20240801
018670,-0.33,2.23,3.3,10.73,16.96,45.32,56.67,20240801
006125,0.15,3.5,5.09,4.45,12.38,16.01,11.09,20240801
326030,1.63,3.32,11.1,-1.36,-6.34,-4.29,14.3,20240801
361610,1.61,0.8,-14.06,-35.65,-48.92,-62.92,-53.5,20240801
03473K,0.31,1.95,-2.75,-0.38,-7.82,-3.96,-30.56,20240801
096775,0.88,1.01,-4.43,2.7,-2.33,-38.85,-30.31,20240801
001510,1.07,2.72,1.07,-5.03,-9.87,-10.58,-25.03,20240801
001515,0.66,-2.12,-2.49,-13.07,-22.07,-15.46,-39.17,20240801
285130,2.41,7.38,5.6,-14.45,-21.09,-21.57,-50.34,20240801
