종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,DT
202960,판도라티비,2014-08-11,797,9484803272,8261,6493265,11915582,,,,,,,20231110
341170,퓨쳐메디신,2022-07-27,8130,85950952800,4564,36226500,10533205,,,,,,,20231110
222670,플럼라인생명과학,2015-07-28,6170,18756121300,53,311090,3039890,,,,,,,20231110
150440,피노텍,2014-12-05,994,9508019528,0,0,9565412,,,,,,,20231110
001460,BYC,1975-06-02,405000,248909077500,149,60377500,624615,825735.0,9.58,0.49,42272.0,0.74,3000.0,20231110
004840,DRB동일,1976-05-21,5640,113202400000,33760,191661350,19930000,18971.0,70.5,0.3,80.0,0.71,40.0,20231110
114090,GKL,2009-11-19,14430,888865977900,416086,6098589520,61855670,6183.0,0.0,2.33,0.0,0.0,0.0,20231110
078930,GS,2004-08-05,42150,3911737413800,77742,3267394250,92915378,133899.0,1.86,0.31,22634.0,5.93,2500.0,20231110
001250,GS글로벌,1976-06-26,2295,189414988380,262370,603337125,82533764,4813.0,2.7,0.48,851.0,0.0,0.0,20231110
039570,HDC랩스,2015-09-24,7550,194941583510,2338,17568110,25957601,11339.0,14.03,0.67,538.0,5.96,450.0,20231110
267270,HD현대건설기계,2017-05-10,46600,917071914150,129818,5973156850,19700793,80387.0,7.62,0.58,6112.0,3.76,1750.0,20231110
014790,HL D&I,1994-08-12,2060,78556597075,16178,33406380,37858601,11284.0,6.87,0.18,300.0,0.0,0.0,20231110
204320,HL만도,2014-10-06,33550,1573063520000,138640,4656609300,46957120,45998.0,16.01,0.73,2096.0,1.49,500.0,20231110
035000,HS애드,1999-08-11,6320,104871698970,10910,68760580,16567409,10892.0,5.87,0.58,1077.0,6.33,400.0,20231110
175330,JB금융지주,2013-07-18,10660,2082109189580,269526,2868398790,196982894,23551.0,3.56,0.45,2996.0,7.83,835.0,20231110
432320,KB스타리츠,2022-10-06,3525,357485354625,32387,113740185,101414285,,,,,,,20231110
119650,KC코트렐,2010-01-29,1359,68915636790,171799,232365257,50935430,1562.0,0.0,0.87,0.0,0.0,0.0,20231110
044450,KSS해운,2007-10-26,8200,189073357200,44725,366749710,23085880,17995.0,4.07,0.46,2016.0,4.27,350.0,20231110
003550,LG,1970-02-13,81300,12851491128100,61728,5020703800,157300993,164082.0,6.54,0.5,12422.0,3.69,3000.0,20231110
035420,NAVER,2008-11-28,194700,31956761758000,668781,130536660100,164049085,151646.0,38.89,1.28,5007.0,0.47,914.0,20231110
338100,NH프라임리츠,2019-12-05,4300,80238000000,32055,137700955,18660000,,,,,,,20231110
030190,NICE평가정보,2023-08-08,8200,497861524000,109253,896564490,60714820,5732.0,9.3,1.43,882.0,4.51,370.0,20231110
456040,OCI,2023-05-30,105500,786805928200,12560,1327876300,7436729,,,,,,,20231110
178920,PI첨단소재,2021-08-09,28800,842813441400,75092,2137152950,29366322,11627.0,18.5,2.48,1557.0,2.7,779.0,20231110
005090,SGC에너지,1993-01-06,26900,395545257800,17688,480542700,14677004,48174.0,3.32,0.56,8093.0,6.32,1700.0,20231110
001770,SHD,1988-11-23,21350,25937645300,818,17453600,1214878,42355.0,2.4,0.5,8905.0,0.47,100.0,20231110
077970,STX엔진,2004-05-10,11590,261841327520,19524,223309170,23008904,11315.0,0.0,1.02,0.0,0.0,0.0,20231110
000500,가온전선,1987-06-08,16000,101679226740,8536,136018500,6358926,47277.0,6.81,0.34,2350.0,0.31,50.0,20231110
000860,강남제비스코,1975-11-12,20250,132275000000,6541,132722450,6500000,92542.0,21.27,0.22,952.0,2.47,500.0,20231110
012200,계양전기,1988-07-06,1983,53982869907,5839,11554910,27222829,3924.0,0.0,0.51,0.0,1.26,25.0,20231110
017040,광명전기,1990-09-14,2180,94042624550,73155,157997370,43337615,2621.0,17.58,0.83,124.0,0.46,10.0,20231110
083420,그린케미칼,2005-10-20,6080,145200000000,38566,235582290,24000000,5251.0,49.43,1.16,123.0,3.78,230.0,20231110
214330,금호에이치티,2015-11-11,681,134751549048,147447,101305198,196144904,1749.0,0.0,0.39,0.0,0.0,0.0,20231110
024110,기업은행,2003-12-24,11470,9146474717430,488056,5611990910,797425869,36302.0,3.45,0.32,3320.0,8.37,960.0,20231110
004540,깨끗한나라,1975-06-25,1961,73289683824,11543,22680087,37240693,6481.0,0.0,0.3,0.0,0.0,0.0,20231110
251270,넷마블,2017-05-12,47000,4048409944200,149440,6949707700,85953502,66649.0,0.0,0.71,0.0,0.0,0.0,20231110
000320,노루홀딩스,1973-08-10,11460,150057094790,6329,72038770,13291151,38479.0,4.79,0.3,2391.0,4.36,500.0,20231110
058730,다스코,2004-08-02,4285,83018907480,43448,184172830,19396941,7408.0,48.69,0.58,88.0,0.0,0.0,20231110
000490,대동,1975-06-27,12700,320412131040,359178,4556620330,25349061,15973.0,7.01,0.8,1812.0,0.79,100.0,20231110
084690,대상홀딩스,2005-08-17,6730,242986129980,49910,335935110,36212538,20315.0,7.75,0.33,868.0,4.01,270.0,20231110
003090,대웅,1973-06-26,15740,907014888000,63805,988819860,58141980,19933.0,6.38,0.79,2467.0,0.64,100.0,20231110
015230,대창단조,1989-07-25,6070,173433436100,43443,263898780,28572230,9161.0,4.28,0.66,1417.0,3.29,200.0,20231110
