종목코드,종목명,산업,섹터,날짜
066430,와이오엠,소재,소재,20221005
000590,CS홀딩스,소재,소재,20221005
263770,유에스티,소재,소재,20221005
008870,금비,소재,소재,20221005
005820,원림,소재,소재,20221005
014970,삼륭물산,소재,소재,20221005
054410,케이피티유,소재,소재,20221005
221980,케이디켐,소재,소재,20221005
025890,한국주강,소재,소재,20221005
000760,이화산업,소재,소재,20221005
023790,동일철강,소재,소재,20221005
028260,삼성물산,산업재,자본재,20221005
034730,SK,산업재,자본재,20221005
003550,LG,산업재,자본재,20221005
034020,두산에너빌리티,산업재,자본재,20221005
028050,삼성엔지니어링,산업재,자본재,20221005
047810,한국항공우주,산업재,자본재,20221005
009540,한국조선해양,산업재,자본재,20221005
010140,삼성중공업,산업재,자본재,20221005
000720,현대건설,산업재,자본재,20221005
010620,현대미포조선,산업재,자본재,20221005
012450,한화에어로스페이스,산업재,자본재,20221005
064350,현대로템,산업재,자본재,20221005
329180,현대중공업,산업재,자본재,20221005
241560,두산밥캣,산업재,자본재,20221005
006360,GS건설,산업재,자본재,20221005
001120,LX인터내셔널,산업재,자본재,20221005
002380,KCC,산업재,자본재,20221005
375500,DL이앤씨,산업재,자본재,20221005
047050,포스코인터내셔널,산업재,자본재,20221005
006260,LS,산업재,자본재,20221005
079550,LIG넥스원,산업재,자본재,20221005
001040,CJ,산업재,자본재,20221005
047040,대우건설,산업재,자본재,20221005
010120,LS ELECTRIC,산업재,자본재,20221005
100090,삼강엠앤티,산업재,자본재,20221005
017800,현대엘리베이,산업재,자본재,20221005
272210,한화시스템,산업재,자본재,20221005
267260,현대일렉트릭,산업재,자본재,20221005
042660,대우조선해양,산업재,자본재,20221005
003410,쌍용C&E,산업재,자본재,20221005
056190,에스에프에이,산업재,자본재,20221005
004800,효성,산업재,자본재,20221005
042670,현대두산인프라코어,산업재,자본재,20221005
007460,에이프로젠,산업재,자본재,20221005
001740,SK네트웍스,산업재,자본재,20221005
001440,대한전선,산업재,자본재,20221005
294870,HDC현대산업개발,산업재,자본재,20221005
