종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
042420,2.35,-9.84,-12.71,-32.3,90.51,67.58
182400,2.51,1.87,-8.4,-19.06,-15.72,-19.46
241560,1.92,-2.87,-3.0,-5.7,-14.19,10.22
035720,8.58,4.93,13.64,-19.03,-35.48,0.96
003550,0.82,-0.54,-3.41,-10.24,-22.77,-17.29
042670,1.03,-0.58,8.7,-8.03,-26.92,0.84
206640,0.65,-1.9,-2.21,-4.91,-17.77,-9.36
031430,4.56,-1.97,18.25,1.02,-24.75,-24.94
036540,5.21,1.99,0.3,-1.33,-3.76,-25.34
018000,3.4,-0.54,12.07,-3.18,-22.93,-31.84
013890,0.0,3.97,2.84,-5.0,-8.98,-9.65
017940,0.32,-1.06,-1.48,-1.69,-16.04,15.06
002990,2.82,0.46,6.31,-4.78,-16.41,24.29
001720,0.96,0.0,3.45,6.79,-0.16,12.32
084850,2.86,2.28,-3.36,-14.91,-21.76,-24.08
099190,3.09,2.72,-0.35,-4.87,-12.5,17.63
123890,3.98,4.82,3.03,-6.79,-13.0,-2.0
097950,2.75,-5.34,-6.46,-2.48,-21.83,-12.68
005500,0.2,0.79,1.8,-0.97,-5.58,2.83
230240,2.32,-3.37,-7.13,-18.61,36.1,41.48
052400,-14.96,-21.45,-22.86,-28.71,-36.84,-46.0
005930,2.45,-0.7,-2.47,-5.82,-7.17,-15.24
049770,2.39,-0.58,-9.26,-10.68,-17.35,-13.6
014680,5.03,-6.28,-6.28,-33.76,-28.06,-8.73
218410,1.99,-1.4,-3.25,-17.28,-14.0,-24.0
088800,4.72,-1.33,-0.45,-19.27,-35.47,-46.63
001500,1.4,-1.8,-3.54,-13.49,-13.83,-11.74
094480,2.61,-4.74,-2.88,-31.84,48.19,93.84
371950,-5.38,-18.71,,,,
016800,0.42,1.26,-0.55,-5.12,-5.99,20.94
066570,2.12,-2.43,-3.6,-1.23,-15.14,-19.93
061970,2.37,-4.85,-7.69,-15.95,-17.56,-13.25
085620,0.75,-0.25,2.54,-2.66,-6.71,-0.25
000080,5.62,2.66,8.59,19.77,9.9,4.42
085370,-1.29,-0.43,15.62,30.03,23.72,145.45
034220,3.3,0.53,-2.59,-9.18,-8.29,-17.9
048260,0.0,0.0,0.0,10.53,-10.98,100.14
032620,1.95,1.34,0.59,-15.65,-16.38,-16.17
139480,2.29,2.68,-4.29,-10.67,-25.14,-27.57
030210,1.01,-0.89,-4.13,-19.31,-32.13,19.64
041190,4.78,-1.72,4.4,-12.76,7.14,83.87
240810,2.66,2.23,-2.66,-14.49,-19.21,-28.24
268600,7.43,2.91,-2.45,-26.05,-51.82,-75.0
086980,0.19,0.0,8.48,-4.6,30.31,3.19
210980,1.97,0.97,11.07,0.97,-19.43,-14.56
035420,8.54,4.26,1.07,-17.79,-24.72,-17.27
021240,3.75,-3.49,-5.46,-6.23,-11.51,5.01
006360,8.18,7.55,17.36,16.77,3.46,23.47
294570,4.41,-2.61,-10.59,-37.68,-36.22,
084990,5.99,15.0,17.35,4.29,-3.66,0.36
088350,2.34,-3.07,-10.11,-4.05,-14.69,-9.97
314130,5.93,6.72,-4.35,-15.26,-44.14,-55.03
084680,1.36,-1.76,-3.04,6.44,-23.63,-37.8
145990,1.96,-0.76,-18.65,-17.36,-19.41,-8.47
010620,2.63,0.86,16.83,12.35,7.34,53.08
042700,2.95,-0.45,-13.12,-9.93,-4.2,45.81
321550,0.0,-0.6,-2.37,-8.84,-17.71,-3.51
002960,-0.2,0.2,2.83,-7.29,-5.57,2.62
381970,-6.77,-14.39,-3.09,-12.67,,
006110,-1.27,-2.85,7.06,-0.36,10.53,162.5
183190,5.65,8.53,14.8,33.05,16.06,82.13
131290,1.56,-4.72,-17.0,-13.82,-13.19,10.98
096770,0.25,-2.17,-10.38,-0.73,-18.64,-23.68
072710,1.27,-2.71,-6.74,-6.14,-5.77,-2.57
131970,2.9,-3.3,-16.07,-15.07,-17.38,-10.7
035900,4.0,1.56,18.18,10.17,21.92,37.02
033640,4.16,-0.35,-3.68,-20.88,-19.33,-25.87
241820,-0.78,-15.0,-0.52,-2.3,-21.22,8.36
002270,1.43,0.16,-4.5,-8.48,-24.17,-15.74
192400,4.11,0.57,-0.56,-4.83,-29.28,-31.99
084110,4.4,-2.31,-9.19,-23.16,-53.54,12.01
041960,3.26,5.84,-2.95,4.72,-19.64,-17.4
050890,1.13,-2.19,4.0,-1.73,-13.57,-24.72
034020,1.44,-0.24,21.97,8.49,4.6,93.45
028260,6.48,3.6,8.49,0.88,-13.53,-7.26
031980,3.28,-4.07,1.43,13.2,9.69,72.98
002380,3.29,-4.7,-21.6,0.16,-12.78,54.68
005440,3.43,-0.94,3.3,1.44,-14.99,-10.68
138930,2.18,-1.45,-10.3,-12.81,-3.48,18.51
111770,0.0,-7.75,-17.61,-2.96,-5.64,-7.31
189300,1.57,-8.4,-7.75,-3.73,14.5,-0.17
377190,0.19,0.37,0.94,0.37,0.75,
117580,-2.44,-20.45,52.51,84.21,119.09,169.23
299660,5.26,-3.9,-11.23,-38.22,-74.17,-12.69
131390,0.35,-3.69,-2.55,4.94,-12.9,29.86
121600,1.52,-5.31,2.49,-15.88,46.58,88.05
194480,5.72,-0.87,-19.41,-42.99,-26.54,-5.91
003470,0.99,0.14,-1.93,-13.8,-19.0,14.1
018310,4.22,33.62,59.52,82.49,47.48,133.33
019680,1.41,-0.41,-2.04,-6.61,-16.94,-5.5
064290,0.41,-3.36,-10.6,-2.98,-4.31,4.94
216050,0.12,-1.87,-9.11,-10.57,-16.87,-18.16
038500,5.72,7.97,6.95,12.39,-8.63,1.4
140410,3.86,2.36,-9.65,-7.43,-7.93,7.83
089590,7.67,-3.44,11.33,16.27,-6.43,-8.04
112610,3.24,0.95,30.0,7.6,-20.28,-9.52
006650,3.69,-4.63,-6.08,-20.16,-33.26,-56.36
035760,2.92,-2.08,-0.94,-9.16,-17.05,-9.99
011210,1.52,-0.83,-10.98,-20.53,-34.43,-27.54
030530,3.39,-0.22,-0.87,-7.57,-19.22,-28.1
005300,5.37,-0.95,-1.88,18.05,8.28,28.69
064350,-2.05,-4.96,0.0,-7.04,-28.01,-5.67
375500,3.5,3.5,14.16,9.92,-5.67,19.82
053210,0.12,-2.01,-3.61,-9.11,-20.0,-1.9
095610,2.7,-2.18,-3.52,-14.68,-10.67,-23.88
204320,0.56,-1.65,-11.31,-23.06,-26.36,-29.72
002310,-2.0,-4.66,-11.82,-14.06,-11.02,-1.12
272550,-1.76,-4.29,-11.33,-5.51,-27.12,1.59
126560,1.68,-5.48,0.14,-14.91,-21.54,-3.85
121800,7.23,3.33,8.95,-49.41,74.87,65.53
102710,5.59,-1.9,-10.85,-6.74,-13.44,-34.75
128940,1.5,2.85,7.33,5.24,-10.59,-12.16
003850,2.43,-0.78,0.4,-21.91,-23.56,-25.99
137400,3.97,7.43,18.9,2.87,80.11,92.26
028670,1.99,8.79,41.34,28.44,-13.6,20.27
141080,7.28,8.13,10.11,-7.17,-11.3,-17.56
010050,2.39,-1.27,2.15,-6.24,-8.54,29.46
121440,1.35,0.36,-1.9,-8.91,-5.8,27.19
009410,4.44,4.86,0.49,1.97,-15.16,-14.11
011780,2.71,-4.42,2.36,-11.92,-22.11,-33.11
195870,0.62,-6.18,-6.36,3.62,19.26,42.52
290670,-0.39,0.59,-10.16,60.82,45.53,39.02
